competition_id,competition_name,cup_image_url,competition_logo_url
CIT,italy-cup,https://tmssl.akamaized.net//images/erfolge/fix/96.png?lm=1520606999,https://tmssl.akamaized.net//images/logo/header/cit.png?lm=1726237063
NLSC,johan-cruijff-schaal,https://tmssl.akamaized.net//images/erfolge/fix/288.png?lm=1511173147,https://tmssl.akamaized.net//images/logo/header/nlsc.png?lm=1500105989
GRP,kypello-elladas,https://tmssl.akamaized.net//images/erfolge/fix/39.png?lm=1461847499,https://tmssl.akamaized.net//images/logo/header/grp.png?lm=1717682298
POSU,supertaca-candido-de-oliveira,https://tmssl.akamaized.net//images/erfolge/fix/337.png?lm=1520606999,https://tmssl.akamaized.net//images/logo/header/posu.png?lm=1470311398
RUSS,russian-super-cup,https://tmssl.akamaized.net//images/erfolge/fix/468.png?lm=1511173816,https://tmssl.akamaized.net//images/logo/header/russ.png?lm=1499521463
SUC,supercopa,https://tmssl.akamaized.net//images/erfolge/fix/93.png?lm=1520606999,https://tmssl.akamaized.net//images/logo/header/suc.png?lm=1641310343
USC,uefa-super-cup,https://tmssl.akamaized.net//images/erfolge/fix/354.png?lm=1520606999,https://tmssl.akamaized.net//images/logo/header/usc.png?lm=1520607013
DK1,superligaen,,https://tmssl.akamaized.net//images/logo/header/dk1.png?lm=1739371406
EL,europa-league,https://tmssl.akamaized.net//images/erfolge/fix/264.png?lm=1520606999,https://tmssl.akamaized.net//images/logo/header/el.png?lm=1721915137
ES1,laliga,,https://tmssl.akamaized.net//images/logo/header/es1.png?lm=1725974302
FR1,ligue-1,,https://tmssl.akamaized.net//images/logo/header/fr1.png?lm=1732280518
IT1,serie-a,,https://tmssl.akamaized.net//images/logo/header/it1.png?lm=1656073460
NL1,eredivisie,,https://tmssl.akamaized.net//images/logo/header/nl1.png?lm=1674743474
RUP,russian-cup,https://tmssl.akamaized.net//images/erfolge/fix/196.png?lm=1520606999,https://tmssl.akamaized.net//images/logo/header/rup.png?lm=1722663376
PO1,liga-portugal-bwin,,https://tmssl.akamaized.net//images/logo/header/po1.png?lm=1688630708
BESC,belgian-supercup,https://tmssl.akamaized.net//images/erfolge/fix/488.png?lm=1511178751,https://tmssl.akamaized.net//images/logo/header/besc.png?lm=1711457942
GB1,premier-league,,https://tmssl.akamaized.net//images/logo/header/gb1.png?lm=1521104656
UCOL,uefa-conference-league,https://tmssl.akamaized.net//images/erfolge/fix/856.png?lm=1639997104,https://tmssl.akamaized.net//images/logo/header/ucol.png?lm=1721914537
ELQ,europa-league-qualifikation,,https://tmssl.akamaized.net//images/logo/header/elq.png?lm=1722493849
CGB,efl-cup,https://tmssl.akamaized.net//images/erfolge/fix/47.png?lm=1520606999,https://tmssl.akamaized.net//images/logo/header/cgb.png?lm=1566937342
DKP,sydbank-pokalen,https://tmssl.akamaized.net//images/erfolge/fix/95.png?lm=1461847499,https://tmssl.akamaized.net//images/logo/header/dkp.png?lm=1739371990
ECLQ,uefa-europa-conference-league-qualifikation,,https://tmssl.akamaized.net//images/logo/header/eclq.png?lm=1721939724
FAC,fa-cup,https://tmssl.akamaized.net//images/erfolge/fix/29.png?lm=1520606999,https://tmssl.akamaized.net//images/logo/header/fac.png?lm=1666031556
NLP,toto-knvb-beker,https://tmssl.akamaized.net//images/erfolge/fix/151.png?lm=1520606999,https://tmssl.akamaized.net//images/logo/header/nlp.png?lm=1703069479
UKRS,ukrainian-super-cup,https://tmssl.akamaized.net//images/erfolge/fix/173.png?lm=1520606999,https://tmssl.akamaized.net//images/logo/header/ukrs.png?lm=1627823641
UKR1,premier-liga,,https://tmssl.akamaized.net//images/logo/header/ukr1.png?lm=1637135523
CDR,copa-del-rey,https://tmssl.akamaized.net//images/erfolge/fix/94.png?lm=1520606999,https://tmssl.akamaized.net//images/logo/header/cdr.png?lm=1644835742
CL,uefa-champions-league,https://tmssl.akamaized.net//images/erfolge/fix/4.png?lm=1520606999,https://tmssl.akamaized.net//images/logo/header/cl.png?lm=1626810555
GR1,super-league-1,,https://tmssl.akamaized.net//images/logo/header/gr1.png?lm=1717678505
TR1,super-lig,,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495
POCP,allianz-cup,https://tmssl.akamaized.net//images/erfolge/fix/246.png?lm=1520606999,https://tmssl.akamaized.net//images/logo/header/pocp.png?lm=1648294009
GBCS,community-shield,https://tmssl.akamaized.net//images/erfolge/fix/316.png?lm=1520606999,https://tmssl.akamaized.net//images/logo/header/gbcs.png?lm=1659265562
KLUB,fifa-klub-wm,https://tmssl.akamaized.net//images/erfolge/fix/318.png?lm=1731663333,https://tmssl.akamaized.net//images/logo/header/klub.png?lm=1725886600
L1,bundesliga,,https://tmssl.akamaized.net//images/logo/header/l1.png?lm=1525905518
RU1,premier-liga,,https://tmssl.akamaized.net//images/logo/header/ru1.png?lm=1674741180
SC1,scottish-premiership,,https://tmssl.akamaized.net//images/logo/header/sc1.png?lm=1710947120
SCI,supercoppa-italiana,https://tmssl.akamaized.net//images/erfolge/fix/97.png?lm=1520606999,https://tmssl.akamaized.net//images/logo/header/sci.png?lm=1726237132
BE1,jupiler-pro-league,,https://tmssl.akamaized.net//images/logo/header/be1.png?lm=1601478124
CLQ,uefa-champions-league-qualifikation,,https://tmssl.akamaized.net//images/logo/header/clq.png?lm=1626812672
DFL,dfl-supercup,https://tmssl.akamaized.net//images/erfolge/fix/312.png?lm=1520606999,https://tmssl.akamaized.net//images/logo/header/dfl.png?lm=1520938588
SFA,sfa-cup,,
UKRP,ukrainian-cup,https://tmssl.akamaized.net//images/erfolge/fix/171.png?lm=1461847499,https://tmssl.akamaized.net//images/logo/header/ukrp.png?lm=1644761657
DFB,dfb-pokal,https://tmssl.akamaized.net//images/erfolge/fix/27.png?lm=1520606999,https://tmssl.akamaized.net//images/logo/header/dfb.png?lm=1520938419
FRCH,trophee-des-champions,https://tmssl.akamaized.net//images/erfolge/fix/321.png?lm=1704485193,https://tmssl.akamaized.net//images/logo/header/frch.png?lm=1736072649
