player_id,name,goals,assists,yellow_cards,red_cards,minutes
10.0,Miroslav Klose,48,25,19,0,12240
65.0,Dimitar Berbatov,38,14,11,1,10980
109.0,Dedê,1,3,4,0,3690
132.0,Tomas Rosicky,9,4,13,0,6930
205.0,0,2,5,0,0,0
215.0,Roque Santa Cruz,26,8,3,0,9810
264.0,Tamás Hajnal,4,5,1,0,2160
277.0,Sérgio da Silva Pinto,6,4,15,0,5940
332.0,Benjamin Köhler,1,0,0,0,630
354.0,0,1,0,0,0,0
408.0,0,1,1,0,0,0
410.0,Sebastian Kehl,3,6,11,0,8370
411.0,Levan Kobiashvili,1,0,2,0,1350
532.0,Claudio Pizarro,52,24,6,0,16830
543.0,0,1,0,0,0,0
568.0,Martin Stranzl,8,1,18,1,9000
597.0,Aleksandr Hleb,5,14,4,0,6840
663.0,0,2,0,0,0,0
690.0,Ivan Klasnic,1,0,0,0,270
691.0,Simon Rolfes,12,8,10,1,10440
755.0,Deniz Baris,1,0,6,0,3330
823.0,Hanno Balitsch,2,2,9,0,4410
837.0,Thorben Marx,3,3,7,0,2880
886.0,Jens Langeneke,2,0,5,0,1620
892.0,Heinz Müller,1,0,1,0,1350
933.0,Ugur Inceman,6,8,27,0,9990
1073.0,Manuel Friedrich,3,2,5,0,2970
1075.0,Andriy Voronin,7,3,2,0,2520
1083.0,Julian de Guzmán,1,2,8,0,2520
1094.0,Emanuel Pogatetz,2,3,12,0,3510
1116.0,Thomas Kleine,1,0,6,1,2070
1126.0,Matthias Lehmann,6,6,32,0,10710
1139.0,Nikolce Noveski,2,2,15,0,7290
1150.0,Raphael Schäfer,1,0,4,0,5940
1197.0,Peter Graulund,2,0,3,0,810
1242.0,0,1,0,0,0,0
1262.0,0,1,0,0,0,0
1277.0,Clemens Fritz,2,14,40,0,11520
1321.0,Jermaine Jones,3,8,23,1,5850
1327.0,Alou Diarra,2,2,10,0,3600
1331.0,Kevin Kuranyi,34,10,17,0,9270
1363.0,Christian Wetklo,1,0,5,2,3330
1368.0,Guy Demel,3,3,7,0,7740
1386.0,0,7,0,0,0,0
1397.0,Michael Owen,1,0,0,0,810
1402.0,0,1,0,0,0,0
1423.0,Lars Jacobsen,2,21,10,0,12510
1426.0,Cacau,2,4,5,0,3420
1428.0,Mike Hanke,9,5,3,0,5850
1443.0,Christian Poulsen,2,5,10,1,9090
1446.0,0,2,0,0,0,0
1459.0,0,1,0,0,0,0
1532.0,Wesley Sonck,1,2,3,0,1530
1565.0,Alexander Meier,69,13,9,0,12150
1568.0,Stefan Reisinger,8,0,3,0,2340
1574.0,0,3,2,0,0,0
1586.0,Christian Schulz,6,3,25,0,10440
1587.0,Mario Eggimann,2,2,4,0,2880
1606.0,Morten Rasmussen,2,0,11,0,3150
1610.0,0,3,3,0,0,0
1662.0,Sascha Riether,3,13,14,0,10890
1716.0,David Odonkor,2,3,2,0,1260
1726.0,Heiko Westermann,9,5,21,0,11340
1791.0,Halil Altintop,29,18,5,0,14130
1792.0,Hamit Altintop,2,9,16,0,8190
1896.0,Ahmet Cebe,1,6,20,1,8460
1986.0,Markus Feulner,8,5,21,1,9180
2048.0,Philipp Haastrup,2,1,7,0,2790
2050.0,Nelson Valdez,16,0,9,0,6210
2122.0,0,1,2,0,0,0
2125.0,0,2,0,0,0,0
2138.0,Mladen Kascelan,1,0,22,0,5400
2148.0,Erdal Kilicaslan,8,7,4,0,6390
2150.0,Oliver Kirch,1,1,1,0,2700
2219.0,Philipp Lahm,6,35,14,0,18990
2233.0,Christian Lell,2,4,5,0,2970
2334.0,Marcel Ndjeng,1,2,3,0,3150
2453.0,Mahir Saglik,5,3,2,0,1080
2514.0,Bastian Schweinsteiger,24,26,27,0,12780
2518.0,0,1,0,0,0,0
2587.0,Elyasa Süme,2,5,37,2,12150
2623.0,Piotr Trochowski,4,3,2,0,3780
2703.0,Morten Skoubo,9,3,5,0,4320
2712.0,Nando Rafael,3,0,2,0,1260
2767.0,Alexander Madlung,9,0,7,1,5310
2804.0,0,1,0,0,0,0
2805.0,Christian Pander,1,8,2,0,4050
2808.0,0,11,1,0,0,0
2813.0,0,2,0,0,0,0
2826.0,0,1,0,0,0,0
2865.0,Stephan Lichtsteiner,14,30,60,0,23490
2874.0,Mladen Petric,18,11,8,0,9090
2878.0,Yassin Mikari,1,0,2,0,1080
2881.0,0,1,1,0,0,0
2895.0,0,1,1,0,0,0
2899.0,Hervé Tum,1,1,1,0,1170
2904.0,Rafa Márquez,1,2,3,0,900
2923.0,Andreas Ivanschitz,13,19,12,0,7650
2925.0,0,5,7,0,0,0
2926.0,György Garics,2,6,21,0,7650
2963.0,Martín Demichelis,10,2,38,2,13860
2989.0,0,2,0,0,0,0
2998.0,Robert Huth,9,4,31,0,13050
3059.0,Ekrem Dag,1,5,4,0,4140
3070.0,0,1,1,0,0,0
3084.0,0,7,0,0,0,0
3098.0,Olof Mellberg,6,1,5,0,2610
3106.0,0,1,0,0,0,0
3109.0,Steven Gerrard,40,26,22,1,10800
3112.0,0,1,0,0,0,0
3114.0,Jan Schlaudraff,6,8,5,0,6480
3115.0,David Bellion,2,0,1,0,2160
3118.0,Kieron Dyer,1,1,1,0,450
3130.0,Titus Bramble,1,0,3,0,1620
3132.0,Florin Cernat,5,2,1,0,2790
3145.0,0,1,1,0,0,0
3146.0,Shay Given,1,0,3,0,1890
3156.0,William Gallas,2,0,4,0,2160
3160.0,John Terry,20,6,15,2,14400
3163.0,Frank Lampard,30,13,11,0,11070
