competition_name,name,club_id,year,cup_image_url
dfb-pokal,FC Bayern München,27,2016,https://tmssl.akamaized.net//images/erfolge/fix/27.png?lm=1520606999
fa-cup,Manchester United Football Club,985,2016,https://tmssl.akamaized.net//images/erfolge/fix/29.png?lm=1520606999
sydbank-pokalen,Football Club København,190,2017,https://tmssl.akamaized.net//images/erfolge/fix/95.png?lm=1461847499
supertaca-candido-de-oliveira,Sport Lisboa e Benfica,294,2014,https://tmssl.akamaized.net//images/erfolge/fix/337.png?lm=1520606999
copa-del-rey,Futbol Club Barcelona,131,2016,https://tmssl.akamaized.net//images/erfolge/fix/94.png?lm=1520606999
dfb-pokal,FC Bayern München,27,2013,https://tmssl.akamaized.net//images/erfolge/fix/27.png?lm=1520606999
community-shield,Arsenal Football Club,11,2014,https://tmssl.akamaized.net//images/erfolge/fix/316.png?lm=1520606999
kypello-elladas,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,1091,2017,https://tmssl.akamaized.net//images/erfolge/fix/39.png?lm=1461847499
uefa-champions-league,FC Bayern München,27,2020,https://tmssl.akamaized.net//images/erfolge/fix/4.png?lm=1520606999
fa-cup,Leicester City Football Club,1003,2021,https://tmssl.akamaized.net//images/erfolge/fix/29.png?lm=1520606999
kypello-elladas,Panathinaikos Athlitikos Omilos,265,2022,https://tmssl.akamaized.net//images/erfolge/fix/39.png?lm=1461847499
uefa-super-cup,Real Madrid Club de Fútbol,418,2022,https://tmssl.akamaized.net//images/erfolge/fix/354.png?lm=1520606999
copa-del-rey,Athletic Club Bilbao,621,2024,https://tmssl.akamaized.net//images/erfolge/fix/94.png?lm=1520606999
toto-knvb-beker,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,1269,2014,https://tmssl.akamaized.net//images/erfolge/fix/151.png?lm=1520606999
italy-cup,Juventus Football Club,506,2015,https://tmssl.akamaized.net//images/erfolge/fix/96.png?lm=1520606999
copa-del-rey,Futbol Club Barcelona,131,2017,https://tmssl.akamaized.net//images/erfolge/fix/94.png?lm=1520606999
supercoppa-italiana,Società Sportiva Lazio S.p.A.,398,2017,https://tmssl.akamaized.net//images/erfolge/fix/97.png?lm=1520606999
dfl-supercup,FC Bayern München,27,2018,https://tmssl.akamaized.net//images/erfolge/fix/312.png?lm=1520606999
supercoppa-italiana,Juventus Football Club,506,2021,https://tmssl.akamaized.net//images/erfolge/fix/97.png?lm=1520606999
trophee-des-champions,Paris Saint-Germain Football Club,583,2021,https://tmssl.akamaized.net//images/erfolge/fix/321.png?lm=1704485193
dfl-supercup,FC Bayern München,27,2022,https://tmssl.akamaized.net//images/erfolge/fix/312.png?lm=1520606999
kypello-elladas,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,1091,2018,https://tmssl.akamaized.net//images/erfolge/fix/39.png?lm=1461847499
uefa-super-cup,FC Bayern München,27,2020,https://tmssl.akamaized.net//images/erfolge/fix/354.png?lm=1520606999
supertaca-candido-de-oliveira,Futebol Clube do Porto,720,2020,https://tmssl.akamaized.net//images/erfolge/fix/337.png?lm=1520606999
ukrainian-cup,Futbolniy Klub Dynamo Kyiv,338,2021,https://tmssl.akamaized.net//images/erfolge/fix/171.png?lm=1461847499
russian-super-cup,AO FK Zenit Sankt-Peterburg,964,2024,https://tmssl.akamaized.net//images/erfolge/fix/468.png?lm=1511173816
ukrainian-cup,Futbolniy Klub Dynamo Kyiv,338,2015,https://tmssl.akamaized.net//images/erfolge/fix/171.png?lm=1461847499
