player_id,player_name,Attack,Attacking Midfield,Central Midfield,Centre-Back,Centre-Forward,Defender,Defensive Midfield,Goalkeeper,Left Midfield,Left Winger,Left-Back,Right Midfield,Right Winger,Right-Back,Second Striker,Sweeper,midfield
10,Miroslav Klose,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0
26,Roman Weidenfeller,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0
65,Dimitar Berbatov,0,0,0,0,55,0,0,0,0,0,0,0,0,0,7,0,0
80,Tom Starke,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
109,Dedê,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0
132,Tomas Rosicky,0,11,7,0,0,0,0,0,4,1,0,5,3,0,0,0,0
205,Nils-Eric Johansson,0,0,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0
215,Roque Santa Cruz,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
264,Tamás Hajnal,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Sladan Peric,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Sérgio da Silva Pinto,0,2,6,0,0,0,7,0,0,0,0,1,0,0,0,0,0
332,Benjamin Köhler,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
342,Gábor Király,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
354,Josip Simunic,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
408,Alexander Iashvili,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
410,Sebastian Kehl,0,0,1,0,0,0,48,0,0,0,0,0,0,0,0,0,0
411,Levan Kobiashvili,0,0,1,9,0,0,1,0,0,0,1,0,0,0,0,0,0
488,Gerhard Tremmel,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
517,Ivica Banovic,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
532,Claudio Pizarro,0,3,0,0,38,0,0,0,0,0,0,0,0,0,7,0,0
568,Martin Stranzl,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
597,Aleksandr Hleb,0,58,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
598,Timo Hildebrand,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
613,Christian Tiffert,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
627,Paul Freier,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
663,Marcel Maltritz,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
674,Benjamin Siegert,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
691,Simon Rolfes,0,0,10,0,0,0,40,0,3,0,0,0,0,0,0,0,0
735,Giuseppe Gemiti,0,0,0,0,0,0,0,0,6,0,5,1,0,0,0,0,0
755,Deniz Barış,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0
792,René Klingbeil,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0
805,Benjamin Auer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
823,Hanno Balitsch,0,0,2,1,0,0,10,0,0,0,0,0,0,0,0,0,0
862,Björn Schlicke,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
892,Heinz Müller,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
933,Uğur İnceman,0,1,55,0,0,0,14,0,0,0,0,0,0,0,0,0,0
976,Soner Dayangan,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1043,Philipp Bönig,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1073,Manuel Friedrich,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,Andriy Voronin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1083,Julian de Guzmán,0,1,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0
1094,Emanuel Pogatetz,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,Peer Kluge,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1126,Matthias Lehmann,0,0,10,1,0,0,105,0,0,0,0,0,0,0,0,0,0
1139,Nikolce Noveski,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
